Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,848098.70,31204.01,158873.40,433,0,792,0,1535,0,91,0,4,0.8079886508410462,960
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,1424022.11,54386.70,5250.00,750,0,569,0,995,0,67,0,5,0.8903488339838965,528
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,4150.12,140.91,120.00,2,0,3,0,8,0,1,0,1,0.54202946952371,12
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,1158725.58,417818.18,362178.00,404,0,271,0,753,0,164,0,3,0.9544045920268386,1068
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2184364.27,444053.28,438207.00,410,0,186,0,907,0,72,0,4,0.42807307042751375,1560
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,346012.88,70874.00,125750.00,78,0,17,0,210,0,20,0,2,0.8983872301658032,264
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,257183.90,77586.74,17136.52,75,0,9,0,100,0,35,0,2,0.9502280313872672,252
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,288684.87,58157.36,13551.59,58,0,5,0,97,0,29,0,2,1.0,168
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,31359.88,23801.66,16838.50,40,0,19,0,110,0,16,0,1,0.9157472518359049,180
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,2260381.53,0.00,0,1348,0,1163,0,2451,0,178,5,0.8451322495406239,2964
